issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LCS,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Taiwan Taiffeta Fabric,1993/5/7,1993/5/7,TW0008939026,TTFAB,2231,Taiwan Taiffeta Fabric,taiwantaffetaf,Taiwan Taffeta Fabric,Taiwan Taffeta Fabric,TAIWAN TAFFETA FABRIC,TW:TTR,1993/5/12,317190,T1454,TW0001454007
Hong Tai Electronic Ind,1993/5/8,1993/5/8,TW0008943994,HONGT,3679,Hong Tai Electronic Ind,hongtaii,Hong Tai Electric Industrial,Hong Tai Electric Industrial,HONG TAI ELEC.INDL.,TW:HEC,1993/5/12,317191,T1612,TW0001612000
Chia Hsin Cement Corp,1993/5/14,1993/5/14,TW0008918871,1103,3241,Chia Hsin Cement Corp,chiahsincement,Chia Hsin Cement,Chia Hsin Cement,CHIA HSIN CEMENT,TW:CHH,1987/9/9,756102,T1103,TW0001103000
Nien Made Enterprise Co Ltd,1993/5/17,1993/5/17,TW0008944372,NIENM,2591,Nien Made Enterprise Co Ltd,nienmadeenterpr,Nien Made Enterprise,Nien Made Enterprise,NIEN MADE ENTERPRISE,TW:NIE,2015/1/6,9268D1,T8464,TW0008464009
New Asia Construction & Dvlp,1993/5/25,1993/5/25,TW0008904558,2516,1611,New Asia Construction & Dvlp,newasiaconstruc,New Asia Construction and Development,New Asia Construction and Development,NEW ASIA CON.& DEV.,TW:NAC,1993/5/27,317513,T2516,TW0002516002
Chang Ku Building Co Ltd,1993/5/28,1993/5/28,TW0008944232,CHANGK,1522,Chang Ku Building Co Ltd,chanbuildin,Champion Building Materials,Champion Building Materials,CHAMPION BLDG.MATS.,TW:SYC,1992/9/28,315992,T1806,TW0001806008
CTCI Corp Ltd,1993/5/28,1993/5/28,TW0002541000,9933,1541,CTCI Corp Ltd,ctci,Cathay Financial Holding,Cathay Financial Holding,CATHAY FINL.HLDG.,TW:CFC,1988/7/13,772053,T2882,TW0002882008
I-Hwa Industrial Co Ltd,1993/9/12,1993/9/12,TW0008939018,1456,2211,I-Hwa Industrial Co Ltd,i-hwa,I-Hwa Industrial,I-Hwa Industrial,I-HWA INDUSTRIAL,TW:IHI,1993/12/9,356845,T1456,TW0001456002
Formosa Oilseed Processing Co,1993/9/27,1993/9/27,TW0008938036,1225,2075,Formosa Oilseed Processing Co,formosaoilseedp,Formosa Oilseed Processing,Formosa Oilseed Processing,FORMOSA OILSEED PROC.,TW:FOP,1993/9/27,317761,T1225,TW0001225001
Hung Fu Construction Co Ltd,1993/9/27,1993/9/27,TW0002519006,2519,1531,Hung Fu Construction Co Ltd,hungfuconstruct,Hung Fu Construction,Hung Fu Construction,HUNG FU CONSTRUCTION,TW:HFC,1993/9/27,317762,T8719,TW0008719006
Zig Sheng Industrial Co Ltd,1993/10/7,1993/10/7,TW0008939059,1455,2281,Zig Sheng Industrial Co Ltd,zigsheng,ZIG Sheng Industrial,ZIG Sheng Industrial,ZIG SHENG INDUSTRIAL,TW:ZIG,1993/10/7,317797,T1455,TW0001455004
Yageo Corp,1993/10/22,1993/10/22,TW0008927096,2327,3679,Yageo Corp,yageo,Yageo,Yageo,YAGEO,TW:YAC,1993/10/22,317826,T2327,TW0002327004
Tze Shing Transport Terminal,1993/10/28,1993/10/28,TW0008944281,2611,4412,Tze Shing Transport Terminal,tshingtro,Tai Shing Electronics Components,Tai Shing Electronics Components,TAI SHING ELECTRONICS COMPONENTS,TW:TSP,2015/9/11,99243H,T3426,TW0003426003
Pan Intl Industrial Corp,1993/11/9,1993/11/9,TW0008943887,2328,3678,Pan Intl Industrial Corp,anintl,Taiwan Line Tek Electronic,Taiwan Line Tek Electronic,TAIWAN LINE TEK ELT.,TW:TLE,1996/1/4,887813,T2462,TW0002462009
Taiwan Secom Co Ltd,1993/12/8,1993/12/8,TW0008937996,9917,7389,Taiwan Secom Co Ltd,taiwansecom,Taiwan Secom,Taiwan Secom,TAIWAN SECOM,TW:TAS,1993/12/8,356847,T9917,TW0009917005
Lee-Tah Farm Industries Co,1993/12/10,1993/12/10,TW0008938069,LEETAH,5191,Lee-Tah Farm Industries Co,leetahfarmindu,Lee Tah Farm Industries,Lee Tah Farm Industries,LEE TAH FARM INDS.,TW:LTF,1993/12/10,356846,T8724,TW0008724006
Jui Li Enterprise Co Ltd,1994/1/28,1994/1/28,TW0008941121,1512,3714,Jui Li Enterprise Co Ltd,juilienterprise,JUI Li Enterprise,JUI Li Enterprise,JUI LI ENTER.,TW:JLE,1994/1/28,362029,T1512,TW0001512002
Pony Leather Corp,1994/2/22,1994/2/22,,PONYL,2295,Pony Leather Corp,onleather,Union Leather and Printing,Union Leather and Printing,UNION LEATHER & PRINTING,TW:ULE,1989/7/3,777151,T1306,TW0001306009
Eternal Chemical Co Ltd,1994/3/30,1994/3/30,TW0008943986,1717,2899,Eternal Chemical Co Ltd,eternalmial,Eternal Materials,Eternal Materials,ETERNAL MATERIALS,TW:ETE,1994/3/30,362256,T1717,TW0001717007
Standard Foods Taiwan Ltd,1994/4/9,1994/4/9,TW0008937970,1227,2023,Standard Foods Taiwan Ltd,standardfoods,Standard Foods,Standard Foods,STANDARD FOODS,TW:SFT,1994/4/8,362416,T1227,TW0001227007
Orient Semiconductor,1994/4/20,1994/4/20,TW0008943879,2329,3672,Orient Semiconductor,orientsemicondu,Orient Semiconductor Electronics,Orient Semiconductor Electronics,ORIENT SEMICON.ELTN.,TW:OSC,1994/4/20,362437,T2329,TW0002329000
Elitegroup Computer Systems,1994/9/21,1994/9/21,TW0008985433,2331,3571,Elitegroup Computer Systems,elitegroupcompu,Elitegroup Computer Systems,Elitegroup Computer Systems,ELITEGROUP COMPUTER SYS.,TW:ECS,1994/9/21,140562,T2331,TW0002331006
Chief Construction Corp,1994/10/1,1994/10/1,TW0008977356,CHIEFC,8711,Chief Construction Corp,chiefconstructi,Chief Construction,Chief Construction,CHIEF CONSTRUCTION,TW:CCN,1994/10/3,140561,T2522,TW0002522000
Der Pao Construction Co Ltd,1994/10/12,1994/10/12,TW0008977364,2523,1531,Der Pao Construction Co Ltd,derpaoconstruct,Der Pao Construction,Der Pao Construction,DER PAO CONSTRUCTION,TW:DPC,1994/10/12,140565,T2523,TW0002523008
D-Link Corp,1994/10/17,1994/10/17,TW0009004879,2332,3661,D-Link Corp,d-link,D-Link,D-Link,D-LINK,TW:DLK,1994/10/17,140904,T2332,TW0002332004
Wei-Cheng Construction,1994/10/18,1994/10/18,,,8711,Wei-Cheng Construction,echngconstr,TE Chang Construction,TE Chang Construction,TE CHANG CONSTRUCTION,TW:TCC,1998/12/9,675837,T5511,TW0005511000
Associated Transport Inc,1994/10/20,1994/10/20,,ATRANS,4412,Associated Transport Inc,associatedns,Associated Industries China,Associated Industries China,ASSOCIATED INDS.CHINA,TW:AIC,1992/8/10,316078,T9912,TW0009912006
Yi Jinn Industrial Co Ltd,1994/10/20,1994/10/20,TW0008936832,1457,2282,Yi Jinn Industrial Co Ltd,yijinn,Yi Jinn Industrial,Yi Jinn Industrial,YI JINN INDL.,TW:YJI,1994/10/20,141035,T1457,TW0001457000
Southeast Cement Co Ltd,1994/10/22,1994/10/22,TW0001110005,1110,3241,Southeast Cement Co Ltd,southeastcement,Southeast Cement,Southeast Cement,SOUTHEAST CEMENT,TW:SEC,1994/10/24,140608,T1110,TW0001110005
Kuo Bin Ceramic Industry Co,1994/10/26,1994/10/26,TW0008986175,1808,3253,Kuo Bin Ceramic Industry Co,kuoincemic,Kuo Ching Chemical,Kuo Ching Chemical,KUO CHING CHEMICAL,TW:KUC,2009/10/22,69233V,T1757,TW0001757003
Lan Fa Textile Co Ltd,1994/10/26,1994/10/26,TW0008985862,1459,2299,Lan Fa Textile Co Ltd,lanfatextile,LAN FA Textile,LAN FA Textile,LAN FA TEXTILE,TW:LFT,1994/10/26,140616,T1459,TW0001459006
Continental Engineering Corp,1994/11/1,1994/11/1,,2526,1622,Continental Engineering Corp,continentalengi,Continental Engineering,Continental Engineering,CONTINENTAL ENGR.,TW:CEN,1994/11/2,140641,T2526,TW0002526001
Kang Na Hsiung Enterprise Co,1994/11/4,1994/11/4,TW0008985052,9919,2399,Kang Na Hsiung Enterprise Co,kangnahsiungent,Kang NA Hsiung Enterprise,Kang NA Hsiung Enterprise,KANG NA HSIUNG ENTER.,TW:KNH,1994/11/4,140642,T9919,TW0009919001
Chant World International,1994/11/14,1994/11/14,TW0008977307,CHANT,3679,Chant World International,chantworld,Chant World International,Chant World International,CHANT WORLD INTL.,TW:CWI,1994/11/14,140673,T2335,TW0002335007
Tong Yang Industry Co Ltd,1994/12/12,1994/12/12,TW0008986126,1319,3714,Tong Yang Industry Co Ltd,ongngindust,Kwong Fong Industries,Kwong Fong Industries,KWONG FONG INDS.,TW:KFI,1989/7/3,777101,T1416,TW0001416006
Giant Manufacturing Co Ltd,1994/12/29,1994/12/29,TW0008973181,9921,3751,Giant Manufacturing Co Ltd,giantmanufactur,Giant Manufacturing,Giant Manufacturing,GIANT MNFG.,TW:GMC,1994/12/29,140831,T9921,TW0009921007
Primax Electronics Ltd,1995/1/12,1995/1/12,TW0008977323,2336,3679,Primax Electronics Ltd,primax,Primax Electronics,Primax Electronics,PRIMAX ELECTRONICS,TW:PXS,2009/12/31,77319R,T4915,TW0004915004
Ability Enterprise Co Ltd,1995/1/16,1995/1/16,TW0002909009,2374,3679,Ability Enterprise Co Ltd,abilityenterpri,Ability Enterprise,Ability Enterprise,ABILITY ENTER.,TW:ABE,1995/1/16,140908,T2374,TW0002374006
UB Office Systems Inc,1995/1/17,1995/1/17,TW0008985078,9922,2522,UB Office Systems Inc,ubofficesystems,UB Office Systems,UB Office Systems,UB OFFICE SYSTEMS,TW:UOS,1995/1/17,140906,T9922,TW0009922005
Rexon,1995/2/4,1995/2/4,,REXON,3541,Rexon,rexon,Ablerex Electronics,Ablerex Electronics,ABLEREX ELECTRONICS,TW:ABL,2010/9/9,69713F,T3628,TW0003628004
Ding Ing Enterprise Co Ltd,1995/2/6,1995/2/6,TW0008985094,9923,3111,Ding Ing Enterprise Co Ltd,ngingenterpr,Tong Ming Enterprise,Tong Ming Enterprise,TONG MING ENTERPRISE,TW:TIG,2013/12/16,91407L,T5538,KYG8919A1031
Taiwan Fu Hsing Indl Co Ltd,1995/3/15,1995/3/15,TW0008985102,9924,3429,Taiwan Fu Hsing Indl Co Ltd,taiwanfuhsing,Taiwan Fu Hsing Industrial,Taiwan Fu Hsing Industrial,TAIWAN FU HSING INDL.,TW:TFH,1995/3/17,141030,T9924,TW0009924001
Tycoons Grp Entrp Co Ltd,1995/3/27,1995/3/27,TW0008985425,2022,3312,Tycoons Grp Entrp Co Ltd,tycoonsgrpent,Tycoons Group Enterprise,Tycoons Group Enterprise,TYCOONS GP.ENTER.,TW:TYG,1995/3/27,141099,T2022,TW0002022001
TNC Industrial,1995/3/30,1995/3/30,TW0002372000,1719,3559,TNC Industrial,tnc,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Falcon Cycle-Parts Co Ltd,1995/4/1,1995/4/1,,1516,3751,Falcon Cycle-Parts Co Ltd,loncepar,Long Chen Paper,Long Chen Paper,LONG CHEN PAPER,TW:LON,1989/7/3,777102,T1909,TW0001909000
Jen Hsiang Construction,1995/4/17,1995/4/17,TW0008973173,2529,1531,Jen Hsiang Construction,jenhsianconstr,Jen Hsian Construction,Jen Hsian Construction,JEN HSIAN CON.,TW:JHC,1995/4/17,141073,T2529,TW0002529005
Taiwan Mask Corp,1995/4/17,1995/4/17,TW0008976366,T2338,3679,Taiwan Mask Corp,taiwanmask,Taiwan Mask,Taiwan Mask,TAIWAN MASK,TW:TMS,1995/4/26,141094,T2338,TW0002338001
Holtek Microelectronics Inc,1995/4/27,1995/4/27,,HOLTEK,3674,Holtek Microelectronics Inc,otekmicroele,Novatek Microelectronics,Novatek Microelectronics,NOVATEK MICROELS.,TW:NOV,2001/4/24,257412,T3034,TW0003034005
Everest Textile Co Ltd,1995/4/28,1995/4/28,TW0008976317,1460,2299,Everest Textile Co Ltd,everesttextile,Everest Textile,Everest Textile,EVEREST TEXTILE,TW:ETX,1995/5/1,141098,T1460,TW0001460004
Opto Tech Corp,1995/5/2,1995/5/2,TW0002340106,2340,3674,Opto Tech Corp,optotech,Aceplux Optotech,Aceplux Optotech,ACEPLUX OPTOTECH,TW:AXO,2014/5/5,8876FU,T6455,TW0006455009
Yieh Phui Enterprise Co Ltd,1995/7/28,1995/7/28,TW0009004838,2023,3316,Yieh Phui Enterprise Co Ltd,yiehphuienterpr,Yieh Phui Enterprise,Yieh Phui Enterprise,YIEH PHUI ENTERPRISE,TW:YPE,1995/7/28,313493,T2023,TW0002023009
Accton Technology Corp,1995/9/6,1995/9/6,TW0009004077,2345,3577,Accton Technology Corp,accton,ABC Taiwan Electronics,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Mosel Vitelic Inc,1995/9/19,1995/9/19,US6195391098,2342,3674,Mosel Vitelic Inc,moselvitelic,Mosel Vitelic,Mosel Vitelic,MOSEL VITELIC,TW:MVI,1995/9/19,356872,T2342,TW0002342003
Lite-On Semiconductor,1995/10/8,1995/10/8,,5305,3674,Lite-On Semiconductor,lite-onsemicond,Lite-On Semiconductor,Lite-On Semiconductor,LITE-ON SEMICONDUCTOR,TW:DYI,1996/1/4,887267,T5305,TW0005305007
Ace Union Foods Corp,1995/10/20,1995/10/20,TW0009002816,ACEUFC,2099,Ace Union Foods Corp,aceunionfoods,Ace Union Foods,Ace Union Foods,ACE UNION FOODS,TW:AUF,1995/10/20,313026,T1230,TW0001230001
Tai-I Electric Wire & Cable Co,1995/10/20,1995/10/20,TW0009002840,1613,3357,Tai-I Electric Wire & Cable Co,tai-ielectricwi,Tai-I Electric Wire and Cable,Tai-I Electric Wire and Cable,TAI-I ELEC.WIRE & CABLE,TW:TEW,1995/10/20,313027,T1613,TW0001613008
Sun Splendor Co Ltd,1995/10/30,1995/10/30,TW0009004135,2531,8711,Sun Splendor Co Ltd,sunsplendor,Sun Splendor,Sun Splendor,SUN SPLENDOR,TW:SSC,1995/10/30,865167,T8725,TW0008725003
Yuh Chen United Technologies,1995/10/30,1995/10/30,TW0009005413,2533,1521,Yuh Chen United Technologies,yuhchenunitedte,Yuh Chen United Technologies,Yuh Chen United Technologies,YUH CHEN UTD.TECHS.,TW:YEE,1996/1/4,865191,T2533,TW0002533007
Lian Hwa Foods,1995/11/2,1995/11/2,TW0009002824,LIANH,2099,Lian Hwa Foods,lianhwafoods,Lian Hwa Foods,Lian Hwa Foods,LIAN HWA FOODS,TW:LIH,1995/11/2,865172,T1231,TW0001231009
Lee Chi Enterprises Co Ltd,1995/11/14,1995/11/14,TW0009003160,1517,3751,Lee Chi Enterprises Co Ltd,leechienterpris,Lee Chi Enterprises,Lee Chi Enterprises,LEE CHI ENTS.,TW:LEC,1995/11/14,865277,T1517,TW0001517001
Aceton Technology,1995/11/15,1995/11/15,,ACETON,7371,Aceton Technology,aceton,ABC Taiwan Electronics,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Lite-On Technology Corp,1995/11/17,1995/11/17,TW0009004093,2301,3575,Lite-On Technology Corp,lite-on,Lite-On Technology,Lite-On Technology,LITE-ON TECHNOLOGY,TW:LOT,1995/11/17,865276,T2301,TW0002301009
Apex Science & Engineering,1995/11/25,1995/11/25,TW0009003178,APEX2,8711,Apex Science & Engineering,apexsciencen,APEX Science and Engineering,APEX Science and Engineering,APEX SCIENCE & ENGR.,TW:APX,1995/11/27,865278,T3052,TW0003052007
Standard Chem&Pharm Co Ltd,1995/12/12,1995/12/12,TW0009004820,1720,2834,Standard Chem&Pharm Co Ltd,standardchem,Standard Chemical and Pharmaceutical,Standard Chemical and Pharmaceutical,STANDARD CHM.& PHARM.,TW:SCH,1995/12/12,865279,T1720,TW0001720001
Synnex Tech Intl Corp,1995/12/13,1995/12/13,,2347,5045,Synnex Tech Intl Corp,sextechnl,Posiflex Technologies,Posiflex Technologies,POSIFLEX TECHNOLOGIES,TW:FLX,2005/7/20,29000M,T8114,TW0008114000
Yee Chen Construction,1995/12/30,1995/12/30,,YEECC,1541,Yee Chen Construction,echnconstruc,TE Chang Construction,TE Chang Construction,TE CHANG CONSTRUCTION,TW:TCC,1998/12/9,675837,T5511,TW0005511000
Chinese Automobile,1996/1/6,1996/1/6,TW0008712001,CAUTO,3714,Chinese Automobile,chineseautomobi,Chinese Automobiles Company,Chinese Automobiles Company,CHINESE AUTOMOBILES CO.,TW:CAU,2000/2/23,280268,T8712,TW0008712001
King-Wei Fiber,1996/1/16,1996/1/16,TW0008706003,KWEI,2824,King-Wei Fiber,king-weifiber,King-Wei Fiber Company,King-Wei Fiber Company,KING-WEI FIBER CO.,TW:KW,1996/1/15,865317,T8706,NA
Chien Shing Stainless Steel Co,1996/2/8,1996/2/8,TW0009004853,2025,3312,Chien Shing Stainless Steel Co,chienshingstain,Chien Shing Stainless Steel,Chien Shing Stainless Steel,CHIEN SHING STNL.STEEL,TW:CSH,1996/2/8,865357,T2025,TW0002025004
TTET Union Corp,1996/2/9,1996/2/9,TW0009002832,1232,2079,TTET Union Corp,ttetunion,Ttet Union,Ttet Union,TTET UNION,TW:TTU,1996/2/9,865355,T1232,TW0001232007
Dahin,1996/3/4,1996/3/4,TW0001320000,DAHIN,2899,Dahin,dahin,Lida Holdings,Lida Holdings,LIDA HOLDINGS,TW:LDH,2016/7/20,7742MQ,T4552,KYG5479W1033
DA-CIN Construction Co Ltd,1996/3/11,1996/3/11,TW0009059592,2535,1522,DA-CIN Construction Co Ltd,da-cinconstruct,Da-CIN Construction,Da-CIN Construction,DA-CIN CONSTRUCTION,TW:DAC,1996/3/11,865419,T2535,TW0002535002
S&T Copper Industries Co Ltd,1996/3/11,1996/3/11,TW0002026002,STCOP,3366,S&T Copper Industries Co Ltd,terindust,Tex Year Industries,Tex Year Industries,TEX YEAR INDUSTRIES,TW:TEX,2001/3/16,257096,T4720,TW0004720008
Hung Poo RE Co Ltd,1996/3/14,1996/3/14,,2536,1522,Hung Poo RE Co Ltd,hungpoore,Hung Poo Real Estate Development,Hung Poo Real Estate Development,HUNG POO REAL EST.DEV.,TW:HPC,1996/3/14,865418,T2536,TW0002536000
Ritek Corp,1996/4/23,1996/4/23,TW0009051789,2349,3572,Ritek Corp,ritek,Information-Tek,Information-Tek,INFO-TEK,TW:IFT,2005/3/30,30394C,T8183,TW0008183005
Universal Scientific Indl Co,1996/4/23,1996/4/23,TW0002350006,2350,3577,Universal Scientific Indl Co,universalscient,Universal Scientific Industrial,Universal Scientific Industrial,UNIVERSAL SCIEN.INDL.,TW:USC,1996/4/23,865517,T2350,TW0002350006
SDI Corp,1996/4/25,1996/4/25,,2351,3674,SDI Corp,sdi,Bossdom Digiinnovation,Bossdom Digiinnovation,BOSSDOM DIGIINNOVATION,TW:BSD,2017/5/22,9091HH,T6622,TW0006622004
China Glaze Co Ltd,1996/4/30,1996/4/30,TW0009052597,1809,2816,China Glaze Co Ltd,chinaglaze,China Glaze,China Glaze,CHINA GLAZE,TW:CGL,1996/4/30,865518,T1809,TW0001809002
Sunko Ink Co Ltd,1996/4/30,1996/4/30,,1721,2821,Sunko Ink Co Ltd,sunkoink,Sunko Ink,Sunko Ink,SUNKO INK,TW:SKI,1996/5/16,865593,T1721,TW0001721009
Wan Hai Lines Ltd,1996/5/15,1996/5/15,TW0009020800,2615,4412,Wan Hai Lines Ltd,wanhailines,Wan Hai Lines,Wan Hai Lines,WAN HAI LINES,TW:WHL,1996/5/16,865596,T2615,TW0002615002
Sanayang Industry,1996/7/1,1996/7/1,,SANAY,3711,Sanayang Industry,snangindustr,Sinkang Industries,Sinkang Industries,SINKANG INDS.,TW:SII,1996/5/3,887822,T2032,TW0002032000
Core Pacific Construction Corp,1996/9/1,1996/9/1,,,1522,Core Pacific Construction Corp,corepacifics,Core Pacific Securities,Core Pacific Securities,CORE PACIFIC SECS.,TW:CPS,1996/4/8,887874,T6013,TW0006013006
Lite-On Technology Corp,1996/9/16,1996/9/16,TW0002346004,2301,3575,Lite-On Technology Corp,lite-on,Lite-On Technology,Lite-On Technology,LITE-ON TECHNOLOGY,TW:LOT,1995/11/17,865276,T2301,TW0002301009
Shamrock Technology Co Ltd,1996/10/8,1996/10/8,,2354,3571,Shamrock Technology Co Ltd,shamrc,Shanghai Commercial and Savings Bank,Shanghai Commercial and Savings Bank,SHANGHAI COML.& SVG.BK.,TW:SSB,2014/9/25,9110QK,T5876,TW0005876007
Chin-Poon Industrial Co Ltd,1996/10/14,1996/10/14,TW0002355005,2355,3672,Chin-Poon Industrial Co Ltd,chin-poon,Chin-Poon Industrial,Chin-Poon Industrial,CHIN-POON INDUSTRIAL,TW:CPI,1996/10/14,887485,T2355,TW0002355005
Ta Chen Stainless Pipe Co Ltd,1996/10/24,1996/10/24,,2027,3317,Ta Chen Stainless Pipe Co Ltd,tachenstainless,Ta Chen Stainless Pipe,Ta Chen Stainless Pipe,TA CHEN STAINLESS PIPE,TW:TCS,1996/10/24,887353,T2027,TW0002027000
Asustek Computer Inc,1996/11/14,1996/11/14,,2357,3577,Asustek Computer Inc,asustekcomputer,Asustek Computer,Asustek Computer,ASUSTEK COMPUTER,TW:ASU,1996/11/14,887467,T2357,TW0002357001
Chyang Sheng Dyeing,1996/12/5,1996/12/5,TW0009059568,,2269,Chyang Sheng Dyeing,chyangshengdyei,Chyang Sheng Dyeing and Finishing,Chyang Sheng Dyeing and Finishing,CHYANG SHENG DY&FG.,TW:CSD,1996/12/5,887566,T1463,TW0001463008
Wei Chih Steel Industrial,1996/12/13,1996/12/13,TW0009076968,2028,3312,Wei Chih Steel Industrial,weichihsteel,Wei Chih Steel Industrial,Wei Chih Steel Industrial,WEI CHIH STEEL INDL.,TW:WCS,1996/12/13,877046,T2028,TW0002028008
Solomon Technology Corp,1996/12/19,1996/12/19,,2359,3674,Solomon Technology Corp,solomon,Solomon Technology,Solomon Technology,SOLOMON TECHNOLOGY,TW:STC,1996/12/19,887688,T2359,TW0002359007
Hotai Motor Co Ltd,1996/12/24,1996/12/24,,2207,5012,Hotai Motor Co Ltd,hotaimotor,Hotai Motor,Hotai Motor,HOTAI MOTOR,TW:HOT,1997/2/25,887915,T2207,TW0002207008
Tonlin Department Store Co Ltd,1996/12/30,1996/12/30,,2910,5311,Tonlin Department Store Co Ltd,tonlindepartmen,Tonlin Department Store,Tonlin Department Store,TONLIN DEPARTMENT STORE,TW:TDS,1996/12/30,887756,T2910,TW0002910007
Les Enphants Co Ltd,1997/5/2,1997/5/2,,2911,2361,Les Enphants Co Ltd,lesenphants,Les Enphants,Les Enphants,LES ENPHANTS,TW:LEN,1997/1/20,887704,T2911,TW0002911005
Chia Ta World Co Ltd,1997/5/23,1997/5/23,TW0005005003,2033,3325,Chia Ta World Co Ltd,chiataworld,Chia Ta World,Chia Ta World,CHIA TA WORLD,TW:CHT,1997/7/8,890845,T2033,TW0002033008
Silicon Integrated Sys Corp,1997/6/16,1997/6/16,,2363,3674,Silicon Integrated Sys Corp,siliconintegrat,Silicon Integrated Systems,Silicon Integrated Systems,SILICON INTEGRATED SYS.,TW:SIS,1997/8/1,890999,T2363,TW0002363009
Clevo Co,1997/6/28,1997/6/28,TW0002362001,2362,3571,Clevo Co,levoco,Level Biotechnology,Level Biotechnology,LEVEL BIOTECHNOLOGY,TW:LBT,2008/5/21,30903L,T3118,TW0003118006
De Licacy Industrial Co Ltd,1997/7/2,1997/7/2,,1464,2299,De Licacy Industrial Co Ltd,delicacy,De Licacy Industrial,De Licacy Industrial,DE LICACY INDUSTRIAL,TW:DEI,1997/1/20,887754,T1464,TW0001464006
Wisher Industries Co,1997/7/22,1997/7/22,,WISHER,2399,Wisher Industries Co,wheindustri,Hwa Chen Industries,Hwa Chen Industries,HWA CHEN INDS.,TW:HCI,1989/7/3,777094,TW2507,NA
Fu Sheng Industrial Co Ltd,1997/8/16,1997/8/16,,1520,3949,Fu Sheng Industrial Co Ltd,fusheng,Fu Sheng Industrial,Fu Sheng Industrial,FU SHENG INDUSTRIAL,TW:FSI,1997/10/2,896231,T1520,TW0001520005
Ta Yih Industrial Co Ltd,1997/8/19,1997/8/19,,1521,3714,Ta Yih Industrial Co Ltd,tayih,Ta Yih Industrial,Ta Yih Industrial,TA YIH INDUSTRIAL,TW:TYL,1997/10/6,896250,T1521,TW0001521003
Sheng Yu Steel Co Ltd,1997/8/23,1997/8/23,TW0002029006,2029,3312,Sheng Yu Steel Co Ltd,shengyusteel,Sheng Yu Steel,Sheng Yu Steel,SHENG YU STEEL,TW:SHS,1997/1/13,887702,T2029,TW0002029006
Knowledge Yield Excellence,1997/9/13,1997/9/13,,TP,3629,Knowledge Yield Excellence,oledgeele,Golden Bridge Electech,Golden Bridge Electech,GLDN.BDG.ELECTECH,TW:GBE,2002/1/22,15128Q,T6133,TW0006133002
Shan-Loong Transp Co Ltd,1997/9/17,1997/9/17,,2616,4119,Shan-Loong Transp Co Ltd,shan-loongtrans,Shan-Loong Transportation,Shan-Loong Transportation,SHAN-LOONG TRSP.,TW:SLT,1997/11/7,871538,T2616,TW0002616000
Askey Computer Corp,1997/10/16,1997/10/16,,2366,3661,Askey Computer Corp,askeycomputer,Askey Computer,Askey Computer,ASKEY COMPUTER,TW:ACO,1997/12/3,879259,T2366,TW0002366002
Sakura Development Co Ltd,1997/10/21,1997/10/21,TW0002539004,2539,1522,Sakura Development Co Ltd,sakuradevelopme,Sakura Development,Sakura Development,SAKURA DEVELOPMENT,TW:SAD,1997/7/16,890846,T2539,TW0002539004
Unitech Printed Circuit Board,1997/10/21,1997/10/21,,2367,3672,Unitech Printed Circuit Board,unitechprintedc,Unitech Printed Circuit Board,Unitech Printed Circuit Board,UNITECH PRINTED CUB.,TW:UPC,1997/12/15,879399,T2367,TW0002367000
Twinhead International Corp,1997/11/3,1997/11/3,TW0002364007,2364,3571,Twinhead International Corp,twinhead,Twinhead International,Twinhead International,TWINHEAD INTL.,TW:TIC,1997/8/11,895584,T2364,TW0002364007
Unitech Computer,1997/12/13,1997/12/13,TW0005342000,,3571,Unitech Computer,unitechcomputer,Unitech Computer,Unitech Computer,UNITECH COMPUTER,TW:UEC,1998/2/26,675136,T2414,TW0002414000
Formosa Intl Hotels Corp,1998/2/16,1998/2/16,,2707,7011,Formosa Intl Hotels Corp,formosahote,Formosa International Hotels,Formosa International Hotels,FORMOSA INTL.HOTELS,TW:FMI,1998/3/9,675156,T2707,TW0002707007
Taiwan First Invest & Trust Co,1998/3/5,1998/3/5,,2835,3999,Taiwan First Invest & Trust Co,taiwanfrtie,Taiwan Fertilizer,Taiwan Fertilizer,TAIWAN FERTILIZER,TW:TIF,1998/3/24,675291,T1722,TW0001722007
Acelon Chemicals & Fiber Corp,1998/3/8,1998/3/8,,1466,2824,Acelon Chemicals & Fiber Corp,acelonchemicals,Acelon Chemicals and Fiber,Acelon Chemicals and Fiber,ACELON CHEMICALS & FIBER,TW:ACF,1998/4/3,675328,T1466,TW0001466001
Sumagh High Tech Corp,1998/4/6,1998/4/6,TW0004405006,1475,2299,Sumagh High Tech Corp,sumaghhigh,Sumagh High Technology,Sumagh High Technology,SUMAGH HIGH TECH,TW:SMT,1998/5/4,675402,T1475,TW0001475002
